To,From,SLN(%),Dist(mm)
7A,V1,0.00,25.5
7A,V2,50.00,24.5
7A,V3A,50.00,15.4
7A,V4,80.18,22.8
7A,7B,5.77,12.8
7A,LIP,58.11,6.3
7A,VIP,66.67,10.3
7A,MIP,0.00,19.4
7A,PIP,40.00,9.2
7A,DP,23.15,11.4
7A,V6,14.29,18.2
7A,V6A,44.20,24.6
7A,5,38.74,22.5
7A,7m,42.07,18.1
7A,STPr,64.13,29
7A,STPi,52.35,21
7A,STPc,65.88,10.2
7A,TPt,54.31,6.3
7A,PGa,32.44,21.7
7A,IPa,12.50,23.6
7A,FST,45.55,18.1
7A,MST,61.21,6.8
7A,MT,100.00,18.8
7A,TEO,62.39,24.6
7A,TEOm,78.17,27.4
7A,PERIRHINAL,20.98,37.2
7A,TEav,0.00,32.1
7A,TEpd,6.54,28.3
7A,TEpv,36.24,27.2
7A,TEa/ma,0.00,34.8
7A,TEa/mp,46.28,29.1
7A,ENTORHINAL,1.88,37
7A,TH/TF,22.34,27.9
7A,TEMPORAL_POLE,0.00,34.5
7A,MB,71.43,23.8
7A,LB,0.00,20.8
7A,INSULA,37.59,22.8
7A,2,0.00,17.9
7A,23,41.29,16
7A,24a,23.33,26.8
7A,24b,34.55,26.7
7A,29/30,54.86,16.6
7A,31,41.30,15.9
7A,F1,100.00,23
7A,F2,72.59,27.1
7A,F7,23.53,35.2
7A,F3,56.36,28.2
7A,F5,96.55,29.2
7A,9,22.22,40
7A,46d,67.67,36.4
7A,46v,0.00,37.2
7A,9/46d,44.27,35.5
7A,9/46v,47.37,34.8
7A,8B,44.05,35.4
7A,8L,49.02,30.4
7A,8m,30.51,30.6
7A,45B,40.00,32.5
7A,45A,71.81,33.6
7A,12,0.00,36.4
7A,13,0.00,33.9
8L,V1,75.00,45.6
8L,V2,92.86,40.2
8L,V3,92.52,42
8L,V3A,81.25,40
8L,V4,95.69,40.2
8L,V4t,68.97,40.6
8L,7op,54.55,26.3
8L,7A,25.58,30.4
8L,7B,66.67,22.6
8L,LIP,50.44,33.4
8L,VIP,30.54,28.3
8L,MIP,37.50,34.5
8L,PIP,75.60,40
8L,AIP,40.00,21.3
8L,DP,77.97,37.5
8L,V6A,4.76,42
8L,5,16.67,31.3
8L,7m,8.33,32.3
8L,STPr,10.91,21.4
8L,STPi,15.13,23.9
8L,STPc,32.48,28.8
8L,TPt,40.48,33.3
8L,PGa,40.67,23.3
8L,IPa,30.77,26
